,age,birth_month,gender,names,origin
0,23,January,m,Mckinley Fadel,Costa Rica
1,24,June,m,Duff Barton Sr.,Christmas Island
2,29,August,m,Wilfrid Kihn,Wallis and Futuna
3,24,July,m,Mr. Farris Hand,Rwanda
4,30,March,m,Mr. Arvel Wisozk Sr.,Togo
5,24,July,m,Mr. Glenn Boehm,Guadeloupe
6,28,November,m,Fletcher Hackett,Gabon
7,26,November,m,Pershing Terry,Guadeloupe
8,23,November,m,Yoshio Quitzon,China
9,24,April,m,Kolton Schaefer,Colombia
10,30,October,m,Dr. Jonathon Schuppe V,Mauritius
11,28,October,m,Dr. Otha Schmidt DDS,Germany
12,21,June,m,Marquis Roberts,Jamaica
13,22,February,m,Dow Braun,Morocco
14,22,November,m,Zaire Parisian,Samoa
15,27,March,m,Dr. Della Thompson,Saint Barthelemy
16,22,September,m,Rahn Zulauf,Bosnia and Herzegovina
17,25,August,m,Claiborne Medhurst PhD,Jordan
18,24,May,m,Dr. Ismael Kunze Sr.,Bolivia
19,26,May,m,Newton Steuber PhD,New Zealand
20,29,October,f,Lillie Stroman,Barbados
21,26,December,f,Adina Kessler,Albania
22,24,March,f,Lorinda Quitzon,Timor-Leste
23,20,January,f,Mrs. Kanisha Abernathy,Liberia
24,25,February,f,Lexus Wuckert PhD,Uganda
25,20,November,f,Ms. Nayeli Considine MD,Swaziland
26,21,March,f,Miss Jaqueline Williamson DVM,Saint Vincent and the Grenadines
27,28,September,f,Jennifer Rippin,Palestinian Territory
28,20,December,f,Lorean Christiansen DVM,Togo
29,24,November,f,Violet DuBuque PhD,Ecuador
30,25,April,f,Ilda Eichmann,Swaziland
31,24,August,f,Rayne Herman,Cameroon
32,30,November,f,Lidie Johns,Portugal
33,28,April,f,Martika Weissnat,Kuwait
34,24,June,f,Leyla Lindgren,Niger
35,29,February,f,Shelbi Towne MD,Cape Verde
36,28,April,f,Karel Runolfsson,Ecuador
37,21,July,f,Aja Veum,Nepal
38,21,August,f,Ardyce Goyette,Madagascar
39,30,September,f,Miss Janyce Little PhD,Qatar
